kod,nazwa,aktualizacjaData,kodEPA,kodEVA,kodPOS,typ,wymianaAglomeracja,kodAglomeracji,biletMiejski
2286,Włoszczowa Płn.,2026-05-25 04:00:02.651,5100753,5104660,64899,0,0,24,False
4373,Wodzisław Śl.,2026-05-25 04:00:02.651,5100521,5104095,68403,0,0,0,False
1529,Wołomin,2026-05-25 04:00:02.651,5101077,5104103,36343,0,0,0,False
247,Wołów,2026-05-25 04:00:02.663,5100210,5100155,60335,0,0,0,False
3339,Wróblik Szlach.,2026-05-25 04:00:02.663,5100741,5103946,83584,0,0,0,False
0,Wrocław (dowolna stacja),2024-04-17 06:00:03.507,0,5196026,0,1,0,25,False
248,Wrocław Gł.,2026-05-25 04:00:02.638,5100143,5100069,60103,0,0,25,False
6514,Wrocław Mikołajów,2026-05-25 04:00:02.663,5100742,5104134,58651,0,0,25,False
6516,Wrocław Nadodrze,2026-05-25 04:00:02.663,5100144,5100255,59105,0,0,25,False
249,Wronki,2026-05-25 04:00:02.625,5100271,5104135,28969,0,0,0,False
250,Września,2026-05-25 04:00:02.663,5100198,5100157,30007,0,0,0,False
8447,Wyrzysk Osiek,2026-05-25 04:00:02.651,5100716,5104210,14514,0,0,0,False
526,Wysoka Kamieńska,2026-05-25 04:00:02.663,5100145,5100221,1560,0,0,0,False
6543,Ząbkowice Śląskie,2026-05-25 04:00:02.625,5100770,5104387,57703,0,0,0,False
251,Zabrze,2026-05-25 04:00:02.625,5100146,5100070,69823,0,0,0,False
252,Zagórz,2026-05-25 04:00:02.625,5100191,5104314,83758,0,0,0,False
2300,Zaklików,2026-05-25 04:00:02.663,5100897,5104337,65243,0,0,0,False
253,Zakopane,2026-05-25 04:00:02.676,5100192,5100158,79020,0,0,0,False
254,Zamość,2026-05-25 04:00:02.663,5100147,5104366,65904,0,0,26,False
275,Zamość Starówka,2026-05-25 04:00:02.663,5101002,5104752,0,0,0,26,False
276,Zamość Wschód,2026-05-25 04:00:02.663,5101003,5104753,0,0,0,26,False
3348,Zarszyn,2026-05-25 04:00:02.651,5100772,5104386,83725,0,0,0,False
3349,Zastów,2026-05-25 04:00:02.625,5101210,5104252,79327,0,0,0,False
6585,Zator Park Rozr.,2026-05-25 04:00:02.676,5101197,5104256,116590,0,0,0,False
257,Zawada,2026-05-25 04:00:02.676,5100843,5104255,66050,0,0,0,False
258,Zawiercie,2026-05-25 04:00:02.676,5100195,5100212,75309,0,0,0,False
7559,Zbąszyń,2026-05-25 04:00:02.625,5100193,5104258,26146,0,0,0,False
259,Zbąszynek,2026-05-25 04:00:02.638,5100148,5100071,26104,0,0,0,False
260,Zduńska Wola,2026-05-25 04:00:02.651,5100773,5100231,19430,0,0,0,False
0,Zduńska Wola (dowolna stacja),2024-04-17 06:00:03.507,0,5196036,0,1,0,0,False
261,Zduńska Wola Kar.,2026-05-25 04:00:02.663,5100194,5100160,19406,0,0,0,False
4395,Zdzieszowice,2026-05-25 04:00:02.663,5100781,5104277,67066,0,0,0,False
262,Zebrzydowice,2026-05-25 04:00:02.638,5100149,5100264,75507,0,0,0,False
271,Żegiestów-Zdrój,2026-05-25 04:00:02.638,5100774,5104304,82552,0,0,0,False
702,Zgierz,2026-05-25 04:00:02.625,5100775,5104308,46805,0,0,0,False
264,Zgorzelec,2026-05-25 04:00:02.676,5100151,5100085,51847,0,0,0,False
266,Zgorzelec Miasto,2026-05-25 04:00:02.625,5100196,5100232,51862,0,0,0,False
6550,Ziębice,2026-05-25 04:00:02.651,5100776,5100162,56424,0,0,0,False
267,Zielona Góra Gł.,2026-05-25 04:00:02.676,5100150,5100222,27805,0,0,0,False
8456,Złotów,2026-05-25 04:00:02.663,5101004,5104356,15354,0,0,0,False
6557,Żmigród,2026-05-25 04:00:02.651,5100777,5104359,44420,0,0,0,False
719,Żory,2026-05-25 04:00:02.638,5100905,5104369,69203,0,0,0,False
8365,Zwierzyn,2026-05-25 04:00:02.663,5100662,5100137,14308,0,0,0,False
2307,Zwierzyniec,2026-05-25 04:00:02.638,5100844,5104403,66589,0,0,0,False
1564,Żychlin,2026-05-25 04:00:02.638,5100767,5104413,32433,0,0,0,False
1566,Żyrardów,2026-05-25 04:00:02.638,5100811,5104415,34207,0,0,0,False
4400,Żywiec,2026-05-25 04:00:02.663,5100782,5104418,76604,0,0,0,False
